STORAGE UID,Bus ID,Discharge Rate MW,Charge Rate MW,Energy Capacity MWh,Initial SOC MWh,Charge Efficiency,Discharge Efficiency,_zone,_mwh_source
SADLBACK_BESS,27,10.0,10.0,9.9,4.95,0.96,0.96,WEST,eia860
SANDLAK1_BESS,467,10.0,10.0,20.0,10.0,0.96,0.96,WEST,fallback_2h
SGSA_BESS1,487,10.0,10.0,20.0,10.0,0.96,0.96,WEST,fallback_2h
SBEAN_BESS,482,10.0,10.0,9.9,4.95,0.96,0.96,WEST,eia860
SHAMROCK_BESS1,2042,99.3,99.3,198.6,99.3,0.96,0.96,WEST,fallback_2h
SHEEPCRK_BESS1,2401,142.1,142.1,568.4,284.2,0.96,0.96,NORTH,fallback_4h
SLCNHLS_ESS1,1379,51.8,51.8,103.6,51.8,0.96,0.96,SOUTH,fallback_2h
SLCNHLS_ESS2,1379,51.8,51.8,103.6,51.8,0.96,0.96,SOUTH,fallback_2h
ELSA_BESS,291,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
GARCENO_BESS,324,10.0,10.0,20.0,10.0,0.96,0.96,COASTAL,fallback_2h
L_FRESNO_BESS,261,10.0,10.0,20.0,10.0,0.96,0.96,COASTAL,fallback_2h
MAYBERRY_BESS,300,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
RIO_GRAN_BESS,322,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
S_SNROSA_BESS,913,10.0,10.0,20.0,10.0,0.96,0.96,COASTAL,fallback_2h
DPCRK_UNIT1,2007,10.0,10.0,20.0,10.0,0.96,0.96,WEST,fallback_2h
SPTX12B_BES1,496,25.1,25.1,50.2,25.1,0.96,0.96,WEST,fallback_2h
SP_BESS,1850,9.9,9.9,19.8,9.9,0.96,0.96,HOUSTON,fallback_2h
SGAL_BES_BESS1,3,101.5,101.5,406.0,203.0,0.96,0.96,WEST,fallback_4h
SGAL_BES_BESS2,3,102.5,102.5,410.0,205.0,0.96,0.96,WEST,fallback_4h
STAM_SLR_BESS1,2418,73.0,73.0,146.0,73.0,0.96,0.96,NORTH,fallback_2h
SUNVASLR_BESS1,1629,54.1,54.1,108.2,54.1,0.96,0.96,NORTH,fallback_2h
SUNVASLR_BESS2,1629,47.3,47.3,94.6,47.3,0.96,0.96,NORTH,fallback_2h
SWTWR_UNIT1,1581,10.0,10.0,20.0,10.0,0.96,0.96,WEST,fallback_2h
SWOOSEII_BESS1,466,101.5,101.5,200.0,100.0,0.96,0.96,WEST,eia860
TANZ_ESS_BES1,2363,132.9,132.9,531.6,265.8,0.96,0.96,NORTH,fallback_4h
TANZ_ESS_BES2,2363,132.9,132.9,531.6,265.8,0.96,0.96,NORTH,fallback_4h
TDWLPR_1_BESS1,1192,102.0,102.0,408.0,204.0,0.96,0.96,NORTH,fallback_4h
TDWLPR_1_BESS2,1192,102.0,102.0,408.0,204.0,0.96,0.96,NORTH,fallback_4h
TBWF_ESS_BES1,129,150.3,150.3,601.2,300.6,0.96,0.96,WEST,fallback_4h
CHERRYCR_BESS,467,10.0,10.0,9.9,4.95,0.96,0.96,WEST,eia860
TYNAN01_BESS1,1197,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
MV_VALV4_BESS,291,9.9,9.9,9.9,4.95,0.96,0.96,SOUTH,eia860
VORTEX_BESS1,2249,121.8,121.8,487.2,243.6,0.96,0.96,WEST,fallback_4h
WAL_BESS_1,1,205.3,205.3,821.2,410.6,0.96,0.96,SOUTH,fallback_4h
WEIL_TRC_BESS,1362,10.0,10.0,9.9,4.95,0.96,0.96,COASTAL,eia860
