osm_id,osm_type,name,fuel,mw,operator,lat,lon
1451553840,way,,solar,,,29.229362,-95.403846
1451553841,way,,solar,,,29.222472,-95.393453
1451876838,way,Red Tailed Hawk Solar,solar,350.0,"Acciona Energy USA Global, LLC",29.176654,-96.141402
1453220049,way,Libra Storage,battery,201.0,Libra Storage LLC,29.465452,-98.003398
1453228484,way,Chillingham Storage,battery,150.0,Chillingham Storage LLC,31.006014,-97.265061
1453228872,way,SMT Rio Grande II LLC,battery,10.0,SMT Rio Grande II LLC,26.391002,-98.820299
1453229789,way,Citrus City BESS,battery,9.9,Incorporated BESS,26.322414,-98.352389
1453230631,way,Crockett BESS,battery,9.5,Incorporated BESS,29.775455,-95.378962
1453231002,way,Lower Rio Energy Storage,battery,60.0,VESI 38 LLC,26.208163,-98.058981
1453231661,way,Great Kiskadee Storage,battery,100.0,"Great Kiskadee Storage, LLC",26.127666,-98.154138
1453234766,way,Tynan,battery,9.9,"HEN Infrastructure, L.L.C.",28.184035,-97.773183
1453241619,way,TX15 Limousin Oak Storage,battery,100.0,Key Capture Energy,30.65966,-95.973763
1453242211,way,Caterina,battery,9.9,"HEN Infrastructure, L.L.C.",28.346816,-99.673662
1453242844,way,Holcomb (TX),battery,9.9,"HEN Infrastructure, L.L.C.",28.033663,-99.363166
1453778587,way,Val Verde,battery,9.9,"HEN Infrastructure, L.L.C.",26.234122,-98.079639
1454375423,way,Citadel Battery Storage Plant,battery,204.0,Citadell BESS LLC,29.873816,-95.017828
1454375859,way,SMT Mercedes LLC,battery,10.0,SMT Mercedes LLC,26.230569,-97.912289
1454375976,way,SMT Mission LLC,battery,10.0,SMT Mission LLC,26.189761,-98.322857
1454376022,way,SMT Santa Rosa LLC,battery,10.0,SMT Santa Rosa LLC,26.232543,-97.823132
1454376055,way,SMT Alamo LLC,battery,10.0,SMT Alamo LLC,26.230644,-98.113418
1454376077,way,SMT Elsa LLC,battery,10.0,SMT Elsa LLC,26.296175,-98.010121
1454376106,way,SMT Los Fresnos LLC,battery,10.0,SMT Los Fresnos LLC,26.0747,-97.523245
1454376157,way,SMT Harlingen II LLC,battery,10.0,SMT Harlingen II LLC,26.180035,-97.725555
1454376190,way,SMT Rio Grande I LLC,battery,10.0,SMT Rio Grande I LLC,26.408542,-98.937522
1454376729,way,Weil Tract BESS,battery,9.9,"HEN Infrastructure, L.L.C.",27.796616,-97.486685
1454959890,way,SMT Bay City LLC,battery,10.0,SMT Bay City LLC,28.987822,-95.969878
1456176460,way,Oriana Solar,solar,180.0,Oriana Solar,28.906168,-96.972222
1457387191,way,Dogwood Creek BESS,battery,443.2,Solar Proponent LLC,29.896407,-97.270712
1458115042,way,Old 300 Storage Center,battery,250.0,"Old 300 Storage Center, LLC",29.327517,-95.81122
1458594435,way,Callisto I Energy Center,battery,200.0,Callisto I Energy Center,29.649655,-95.450911
1458632313,way,"Brazos Bend BESS, LLC",battery,100.0,Cypress Creek Renewables,29.563305,-95.798782
1458653860,way,Ganado BESS,battery,70.5,"Enel Green Power NA, Inc.",29.109664,-96.530568
1460650124,way,,solar,,,30.26913,-98.435041
1461704050,way,,solar,,,29.790584,-97.059685
1461704052,way,,solar,,,29.78903,-97.068281
1461704053,way,,solar,,,29.783987,-97.059511
1461704054,way,,solar,,,29.7968,-97.086576
1461704956,way,,solar,,,29.792052,-97.08656
1462672704,way,,,,,30.751944,-97.441181
1462951810,way,Liberty County Solar Project,solar,109.9,"Liberty County Solar Project, LLC",29.949661,-94.852513
1462952256,way,,solar,,,30.00985,-95.03655
1465107213,way,Cattlemen Solar II,solar,,Cattlemen Solar Park II LLC,31.08734,-96.844288
1465331698,way,Anemoi Energy Storage,battery,200.0,"Anemoi Energy Storage, LLC",26.445193,-98.480701
1465335573,way,SJRR Power,gas,100.0,SJRR,29.880817,-95.112081
1466650674,way,Second Division Solar,solar,100.0,"Lightsource Renewable Energy Asset Management, LLC",29.168962,-95.737219
1467177260,way,Timmerman Power Plant,gas,180.0,Lower Colorado River Authority,29.875649,-97.806847
1467179195,way,Sam Rayburn Dam,hydro,52.0,USACE-Fort Worth District,31.060608,-94.106234
