osm_id,osm_type,name,voltage_kv,operator,substation_type,lat,lon
504095317,way,Doss Substation,69.0,Central Texas Electric Cooperative,distribution,30.457815,-99.13096
504095319,way,Harper Substation,69.0,Central Texas Electric Cooperative,distribution,30.298923,-99.240232
504095322,way,Goehmann Lane Substation,69.0,Lower Colorado River Authority,distribution,30.261901,-98.843372
504095324,way,Fredericksburg Phillips Substation,69.0,,industrial,30.47176,-98.847312
504095357,way,Hollmig Substation,138.0,Lower Colorado River Authority,distribution,30.252446,-98.882109
504095371,way,Live Oak Substation,69.0,Central Texas Electric Cooperative,distribution,30.265937,-98.888268
504130009,way,West Harlingen Substation,69.0,American Electric Power,distribution,26.181193,-97.723372
504555563,way,Kingsland 1 Substation,69.0,Central Texas Electric Cooperative,distribution,30.653402,-98.451924
504555564,way,Kingsland 2 Substation,69.0,Central Texas Electric Cooperative,distribution,30.679167,-98.458018
504555567,way,Bluffton Substation,69.0,Central Texas Electric Cooperative,distribution,30.826089,-98.481503
504555685,way,Buchanan Substation,69.0,Central Texas Electric Cooperative,transmission,30.735473,-98.448096
504555744,way,Sunrise Beach Substation,69.0,Central Texas Electric Cooperative,distribution,30.591072,-98.44363
504555809,way,Pitsburg Substation,138.0,Lower Colorado River Authority,transmission,30.766363,-98.677657
504555813,way,Sandstone Mountain Substation,69.0,Lower Colorado River Authority,transmission,30.736326,-98.610746
504555818,way,Nebo Substation,69.0,Central Texas Electric Cooperative,distribution,30.438894,-98.747342
504607172,way,Lakeway Tap,138.0,Lower Colorado River Authority,transmission,30.377719,-97.942429
504607180,way,Lakeway Substation,138.0,Austin Energy,distribution,30.371935,-97.944833
504607219,way,Marble Falls Substation,138.0,Lower Colorado River Authority,transmission,30.555224,-98.257901
504607223,way,Starcke Substation,138.0,Lower Colorado River Authority,distribution,30.552326,-98.261272
504607228,way,Flatrock Substation,138.0,Pedernales Electric Cooperative,distribution,30.509782,-98.20608
504607231,way,Granite Mountain Substation,138.0,Pedernales Electric Cooperative,distribution,30.588005,-98.29388
504634993,way,Buchanan Substation,69.0,Lower Colorado River Authority,generation,30.750726,-98.417698
504635029,way,,138.0,Lower Colorado River Authority,distribution,30.688448,-98.392493
504635046,way,Sherwood Shores Substation,138.0,Pedernales Electric Cooperative,distribution,30.60966,-98.380072
504635051,way,Inks Dam Substation,69.0,Lower Colorado River Authority,transmission,30.731417,-98.38566
504635067,way,Coronado Substation,138.0,Lower Colorado River Authority,transmission,30.750029,-98.416657
