ercot_substation,lat,lon,match_source,confidence,score,matched_name,load_zone,max_voltage_kv,eia_plant_code,osm_id,propagated_from
AMADEUS2,32.96736,-100.56428,eia860,high,94.6,Amadeus Wind Farm,LZ_WEST,345.0,62142,,
AMAD_ESS,32.96736,-100.56428,eia860,medium,83.6,Amadeus Wind Farm,LZ_NORTH,138.0,62142,,
AMBR,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,
AMGAS,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,
AMISTAD,29.449827,-101.06011,eia860,medium,91.2,Amistad Dam & Power,LZ_SOUTH,138.0,6128,,
AMISTD,30.509782,-98.20608,propagated,low,0,,LZ_SOUTH,138.0,,,FLATRO
AMLIA,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,
AMMFG,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,
AMOCO,31.649531,-100.865327,osm,high,100,Amoco Substation,LZ_WEST,69.0,,455566732,
AMOCOOIL,29.233882,-95.187062,osm,medium,85.7,Amoco Substation,LZ_HOUSTON,138.0,,338758518,
AMOCOTN,29.233882,-95.187062,osm,medium,91.0,Amoco Substation,LZ_HOUSTON,138.0,,338758518,
AMOSCR,28.956546,-96.646085,propagated,low,0,,LZ_WEST,345.0,,,EDNA
AN,30.752638,-95.225219,propagated,low,0,,LZ_HOUSTON,138.0,,,PT
ANACACHO,29.234722,-100.209167,eia860,high,92.0,"Anacacho Wind Farm, LLC",LZ_SOUTH,138.0,58000,,
ANARN,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,
ANASE,32.128234,-101.818895,propagated,low,0,,LZ_NORTH,138.0,,,TRIANGLE
ANASW,31.684511,-98.603358,propagated,low,0,,LZ_NORTH,345.0,,,FLAT_TOP
ANCHOR,32.104125,-100.162375,propagated,low,0,,LZ_NORTH,345.0,,,HOLSTEIN
ANDICE,30.749038,-97.875943,osm,high,100,Andice Substation,LZ_SOUTH,138.0,,504783096,
ANDMDSLR,29.233882,-95.187062,propagated,low,0,,LZ_WEST,345.0,,,AMOCOOIL
ANDNR,30.559511,-98.337565,propagated,low,0,,LZ_WEST,138.0,,,WIRTZ
ANDRD,30.559511,-98.337565,propagated,low,0,,LZ_WEST,138.0,,,WIRTZ
ANEM_ESS,32.295946,-102.54,propagated,low,0,,LZ_SOUTH,345.0,,,BAKKE
ANGLETON,29.167065,-95.440647,eia860,high,100.0,Angleton,LZ_HOUSTON,138.0,64295,,
ANGORA,29.72753,-100.79431,propagated,low,0,,LZ_WEST,69.0,,,ROCKSPRS
ANGSTROM,29.0,-98.0,lz_centroid,none,0,,LZ_SOUTH,345.0,,,
ANGUS,30.400637,-97.777889,osm,medium,88.4,Angus Valley Substation,LZ_SOUTH,138.0,,206125708,
ANG_SLR,29.271,-98.456,propagated,low,0,,LZ_WEST,345.0,,,BEXAR_ES
ANNA_RC,33.317929,-96.638887,osm,medium,89.2,Anna Substation,LZ_NORTH,138.0,,171686777,
ANNA_ST,32.104125,-100.162375,propagated,low,0,,LZ_SOUTH,138.0,,,HOLSTEIN
ANNETTA,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,
ANOL_ESS,32.865417,-97.099401,propagated,low,0,,LZ_NORTH,345.0,,,EULES
ANPHL,33.520892,-101.973737,propagated,low,0,,LZ_WEST,138.0,,,UPLND
ANPOI,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,
ANSN,32.758382,-99.891259,osm,high,95.4,Anson Substation,LZ_WEST,69.0,,517461607,
ANSO,32.758382,-99.891259,osm,high,95.6,Anson Substation,LZ_WEST,69.0,,517461607,
ANSON1,32.758382,-99.891259,osm,high,92.6,Anson Substation,LZ_WEST,345.0,,517461607,
ANSON2,32.758382,-99.891259,osm,high,92.6,Anson Substation,LZ_WEST,345.0,,517461607,
ANTLER,29.776829,-98.413361,osm,high,100,Antler Substation,LZ_SOUTH,138.0,,146626137,
ANTLR,26.523359,-99.017108,propagated,low,0,,LZ_NORTH,138.0,,,STARR
ANTL_ESS,29.271,-98.456,propagated,low,0,,LZ_SOUTH,138.0,,,BEXAR_ES
ANTSS_RC,26.523359,-99.017108,propagated,low,0,,LZ_NORTH,138.0,,,STARR
