UID,From Bus,To Bus,R,X,B,Cont Rating
L3074_3140,3074,3140,0.0,0.00010594,0.0,999999
L1752_1822,1752,1822,0.0,0.00584065,0.0,2400
L1365_1650,1365,1650,0.0,0.01614405,0.0,2400
L2357_3125,2357,3125,0.0,0.00244465,0.0,999999
L1484_2374,1484,2374,0.0,0.00283164,0.0,2400
L1582_1605,1582,1605,0.0,0.01199902,0.0,2400
L1620_2430,1620,2430,0.0,0.00730768,0.0,2400
L1818_2378,1818,2378,0.0,0.04316069,0.0,2400
L1505_1861,1505,1861,0.0,0.00394666,0.0,2400
L2285_2286,2285,2286,0.0,0.00629191,0.0,2400
L1546_1742,1546,1742,0.0,0.0143976,0.0,2400
L2255_3129,2255,3129,0.0,0.00012278,0.0,999999
L1634_3084,1634,3084,0.0,0.02528512,0.0,999999
L1849_3041,1849,3041,0.0,0.00016486,0.0,999999
L3085_3146,3085,3146,0.0,0.00016742,0.0,999999
L1630_1634,1630,1634,0.0,0.00439962,0.0,2400
