uid,from_bus,to_bus,voltage_kv,length_km,capacity_mva,reactance
L1518_1687,1518,1687,345.0,26.05,2400.0,0.00700236
L58_872,58,872,345.0,15.97,2400.0,0.00429247
L31_3070,31,3070,345.0,47.99,1200,0.01290218
L1495_2364,1495,2364,345.0,41.96,2400.0,0.01128093
L1564_2966,1564,2966,345.0,103.72,2400.0,0.02788406
L1557_3123,1557,3123,345.0,4.46,1200,0.0011998
L1811_3129,1811,3129,345.0,56.42,1200,0.01516939
L2064_2285,2064,2285,345.0,12.69,2400.0,0.00341271
L22_2111,22,2111,345.0,6.12,2400.0,0.00164478
L206_835,206,835,345.0,9.09,2400.0,0.00244429
L991_1692,991,1692,345.0,14.65,2400.0,0.00393886
L753_1574,753,1574,345.0,0.49,1200,0.00013186
L55_1689,55,1689,345.0,6.37,2400.0,0.001713
L1583_2411,1583,2411,345.0,6.95,2400.0,0.0018698
L1495_3052,1495,3052,345.0,16.36,1200,0.00439936
L1607_1610,1607,1610,345.0,8.1,2400.0,0.00217749
L2115_3068,2115,3068,345.0,21.42,1200,0.00575824
L62_63,62,63,345.0,16.0,2400.0,0.00430116
L823_2348,823,2348,345.0,21.21,2400.0,0.00570359
L808_3060,808,3060,345.0,41.03,1200,0.01102981
L632_829,632,829,345.0,9.41,2400.0,0.00253123
L3128_3142,3128,3142,345.0,0.54,1200,0.00014559
L817_820,817,820,345.0,43.83,2400.0,0.01178312
L1555_3050,1555,3050,345.0,45.61,1200,0.01226313
L1580_3037,1580,3037,345.0,1.15,1200,0.00030913
L2138_2420,2138,2420,345.0,3.41,2400.0,0.00091803
L2088_2986,2088,2986,345.0,8.86,2400.0,0.00238323
L2407_3134,2407,3134,345.0,5.13,1200,0.00137943
L1228_1866,1228,1866,345.0,9.34,2400.0,0.002511
L2353_2373,2353,2373,345.0,9.84,2400.0,0.00264557
L635_3039,635,3039,345.0,5.25,1200,0.00141047
L1524_1527,1524,1527,345.0,47.04,2400.0,0.01264587
L1483_1495,1483,1495,345.0,176.33,2400.0,0.04740735
L1617_1919,1617,1919,345.0,7.75,2400.0,0.00208475
L952_1572,952,1572,138.0,5.69,2400.0,0.00153075
L823_824,823,824,345.0,0.6,1200,0.00016173
L20_2378,20,2378,345.0,1.61,2400.0,0.00043185
L1633_1635,1633,1635,345.0,6.49,2400.0,0.00174522
L1851_3041,1851,3041,345.0,30.62,1200,0.00823168
L14_837,14,837,345.0,7.18,2400.0,0.00193158
L1549_1811,1549,1811,345.0,34.93,2400.0,0.00939092
L3105_3106,3105,3106,345.0,0.41,1200,0.00010946
L1801_1837,1801,1837,345.0,20.71,2400.0,0.00556786
L1639_1650,1639,1650,345.0,69.66,2400.0,0.01872828
L1628_3093,1628,3093,345.0,5.18,1200,0.0013918
L37_44,37,44,345.0,24.14,2400.0,0.00648893
L1636_1637,1636,1637,345.0,49.27,2400.0,0.01324686
L523_819,523,819,345.0,18.04,2400.0,0.00484996
L3098_3100,3098,3100,345.0,0.45,1200,0.00011987
L1487_3054,1487,3054,345.0,11.94,1200,0.00321128
L1571_3119,1571,3119,345.0,25.1,1200,0.00674705
L1560_2236,1560,2236,345.0,32.57,2400.0,0.00875643
L1840_1847,1840,1847,345.0,8.14,1200,0.00218763
L2229_3074,2229,3074,345.0,0.59,1200,0.0001586
L1530_2259,1530,2259,345.0,40.14,2400.0,0.01079062
L1590_1891,1590,1891,345.0,26.69,2400.0,0.00717648
L2063_2064,2063,2064,345.0,1.25,2400.0,0.00033641
L832_838,832,838,345.0,23.65,2400.0,0.00635831
L814_3066,814,3066,345.0,29.33,1200,0.00788616
L2357_2358,2357,2358,345.0,12.53,2400.0,0.00336991
L1738_3043,1738,3043,345.0,7.9,1200,0.00212377
L1722_1747,1722,1747,345.0,2.27,2400.0,0.00060913
L1910_3047,1910,3047,345.0,0.66,1200,0.00017746
L862_872,862,872,345.0,40.88,2400.0,0.01098967
L812_828,812,828,345.0,24.85,2400.0,0.00667991
L514_3068,514,3068,345.0,0.58,1200,0.00015603
L518_2731,518,2731,345.0,0.32,1200,8.499e-05
L822_2311,822,2311,345.0,72.32,2400.0,0.0194424
L3086_3101,3086,3101,345.0,0.39,1200,0.00010497
L1909_3077,1909,3077,345.0,12.66,1200,0.00340288
L3091_3092,3091,3092,345.0,0.37,1200,0.00010051
L1891_3080,1891,3080,345.0,10.23,1200,0.00274947
L825_3063,825,3063,345.0,62.61,1200,0.01683238
L2136_2137,2136,2137,345.0,5.48,2400.0,0.001472
L519_809,519,809,345.0,9.57,2400.0,0.00257371
L1623_2124,1623,2124,345.0,20.81,2400.0,0.0055942
L117_1511,117,1511,345.0,4.92,2400.0,0.00132201
L2360_2362,2360,2362,345.0,5.52,2400.0,0.00148506
L2309_2310,2309,2310,345.0,9.76,2400.0,0.00262302
L3119_3121,3119,3121,345.0,0.46,1200,0.00012263
L2952_3036,2952,3036,345.0,6.43,2400.0,0.0017291
L753_1577,753,1577,345.0,34.29,2400.0,0.00921889
L2317_2319,2317,2319,345.0,5.18,2400.0,0.00139256
L371_1847,371,1847,345.0,0.55,1200,0.00014743
L2363_2364,2363,2364,345.0,11.21,2400.0,0.00301259
L26_1488,26,1488,345.0,43.17,2400.0,0.01160753
L1561_2964,1561,2964,345.0,66.57,2400.0,0.01789674
L816_2267,816,2267,345.0,0.63,1200,0.00016913
L1584_2450,1584,2450,345.0,0.3,1200,8.127e-05
L1693_3060,1693,3060,345.0,0.46,1200,0.00012326
